vendor_id,vendor_name,category,region,country,diversity_classification,is_preferred,is_strategic,risk_score,risk_tier,onboarded_date,vendor_tenure_years,lifetime_po_count,lifetime_spend,first_po_date,last_po_date,days_since_last_po,total_contracts,active_contracts,latest_contract_end_date,vendor_activity_status,has_active_contract
V00001,"Rodriguez, Figueroa and Sanchez",Logistics,North America,Mexico,,False,False,35,Low,2018-11-02,8,10,225082.31,2024-07-08,2025-10-21,330.0,2,2,2028-04-12,Dormant,True
V00002,Rhodes PLC,Logistics,North America,Mexico,,True,False,24,Low,2018-07-10,8,1,18533.6,2024-04-02,2024-04-02,897.0,0,0,,Dormant,False
V00003,Johnson-Davis,Raw Materials,North America,Mexico,,False,False,41,Medium,2019-05-25,7,10,153768.1,2024-05-18,2025-12-28,262.0,2,0,2026-03-13,Dormant,False
V00004,"Johnson, Gonzalez and Santos",Professional Services,Asia Pacific,China,,False,False,15,Low,2021-04-08,5,12,324289.02,2024-02-14,2025-12-24,266.0,2,1,2027-05-10,Dormant,True
V00005,Cole LLC,Professional Services,Europe,France,,False,False,55,Medium,2022-11-08,4,9,275312.26,2024-02-28,2025-11-20,300.0,1,0,2025-01-26,Dormant,False
V00006,Blake and Sons,Professional Services,Asia Pacific,China,,False,False,11,Low,2022-03-09,4,14,293953.84,2024-02-24,2025-12-27,263.0,3,2,2027-09-16,Dormant,True
V00007,Ramirez-Lewis,Professional Services,Asia Pacific,Australia,Women-Owned,False,False,50,Medium,2022-07-31,4,19,467511.01,2024-01-03,2025-12-27,263.0,3,0,2025-12-23,Dormant,False
V00008,Davis Inc,IT Services,Europe,France,Small Business,False,False,17,Low,2020-02-26,6,12,363232.08,2024-02-22,2025-12-30,260.0,2,1,2027-10-31,Dormant,True
V00009,Munoz-Roman,Professional Services,Latin America,Argentina,Minority-Owned,False,False,19,Low,2022-05-18,4,1,3553.51,2024-10-25,2024-10-25,691.0,0,0,,Dormant,False
V00010,"Martinez, Nielsen and Miller",Logistics,North America,Mexico,,False,False,37,Low,2019-10-05,7,11,235341.99,2024-02-09,2025-12-05,285.0,3,2,2027-11-18,Dormant,True
V00011,"Montgomery, Hensley and Ray",Raw Materials,Asia Pacific,Australia,,False,False,54,Medium,2022-03-24,4,9,103856.04,2024-03-12,2025-12-02,288.0,2,1,2027-01-20,Dormant,True
V00012,Stanley LLC,IT Services,North America,Canada,,True,False,8,Low,2023-11-28,3,12,344131.04,2024-03-18,2025-11-12,308.0,2,1,2026-10-03,Dormant,True
V00013,Delacruz Group,Raw Materials,Asia Pacific,India,,False,False,35,Low,2019-09-01,7,17,199368.02,2024-01-15,2025-12-26,264.0,3,1,2027-06-24,Dormant,True
V00014,"Flowers, Martin and Kelly",Raw Materials,Asia Pacific,India,,False,False,27,Low,2022-01-07,4,0,0.0,,,,0,0,,Inactive,False
V00015,"Zuniga, Wong and Lynch",Raw Materials,Latin America,Chile,,False,False,13,Low,2019-01-10,7,3,47211.77,2024-12-16,2025-12-25,265.0,0,0,,Dormant,False
V00016,"Sanchez, Ford and Nelson",IT Services,North America,USA,,False,False,35,Low,2023-07-20,3,8,116194.69,2024-02-24,2025-10-25,326.0,2,1,2027-03-09,Dormant,True
V00017,"Hawkins, Cohen and Cameron",Raw Materials,Latin America,Chile,,False,False,13,Low,2022-08-27,4,14,160550.35,2024-01-08,2025-12-24,266.0,2,0,2026-09-08,Dormant,False
V00018,Underwood LLC,Raw Materials,North America,Mexico,,False,False,32,Low,2020-05-28,6,11,130093.25,2024-05-28,2025-11-15,305.0,3,1,2028-05-08,Dormant,True
V00019,Clark PLC,Professional Services,Asia Pacific,China,,False,True,16,Low,2023-04-04,3,15,549063.74,2024-01-23,2025-12-17,273.0,1,0,2024-07-04,Dormant,False
V00020,Lewis-Porter,MRO,Asia Pacific,Australia,,False,False,20,Low,2023-04-22,3,10,20559.54,2024-03-21,2025-11-24,296.0,1,0,2025-10-28,Dormant,False
V00021,"Ellis, Baker and Wright",Logistics,Europe,UK,,False,False,26,Low,2021-05-14,5,1,8364.65,2024-06-21,2024-06-21,817.0,0,0,,Dormant,False
V00022,Burgess-Patterson,Facilities,North America,Mexico,,True,False,39,Low,2021-07-01,5,2,21975.48,2025-08-16,2025-12-02,288.0,0,0,,Dormant,False
V00023,Robinson-Bright,Capital Equipment,Asia Pacific,India,,False,False,15,Low,2021-01-20,5,7,528013.2,2024-02-26,2025-11-07,313.0,2,0,2025-10-19,Dormant,False
V00024,Campos Inc,IT Services,Latin America,Brazil,Veteran-Owned,False,False,30,Low,2018-12-01,8,9,188223.29,2024-01-17,2025-10-16,335.0,2,1,2027-02-25,Dormant,True
V00025,Conner Group,Logistics,Europe,France,,False,False,20,Low,2021-07-30,5,11,107374.3,2024-06-20,2025-12-13,277.0,2,0,2024-12-20,Dormant,False
V00026,James-Ferrell,Facilities,Europe,France,,False,False,18,Low,2021-03-04,5,11,52351.34,2024-02-28,2025-12-29,261.0,1,1,2027-01-17,Dormant,True
V00027,"Valencia, Smith and Le",Capital Equipment,Latin America,Brazil,,True,True,36,Low,2022-02-01,4,6,355029.77,2024-04-20,2025-11-09,311.0,3,1,2026-12-28,Dormant,True
V00028,"Potter, Mack and Peterson",Raw Materials,Europe,Germany,,False,False,20,Low,2019-10-05,7,6,61039.42,2024-03-24,2025-09-20,361.0,1,0,2024-06-06,Dormant,False
V00029,Chavez Ltd,Capital Equipment,Asia Pacific,China,,False,False,18,Low,2023-04-03,3,7,851125.8,2024-01-21,2025-12-21,269.0,1,0,2025-11-08,Dormant,False
V00030,Stanton-Gill,Raw Materials,Latin America,Brazil,Minority-Owned,False,False,28,Low,2021-01-16,5,14,166093.74,2024-02-19,2025-11-26,294.0,3,2,2027-08-16,Dormant,True
V00031,Harrell LLC,IT Services,Latin America,Chile,,False,False,10,Low,2023-01-18,3,9,351343.51,2024-05-19,2025-11-16,304.0,1,0,2025-04-19,Dormant,False
V00032,"Lynch, Hernandez and Farmer",Logistics,North America,USA,,False,False,20,Low,2021-03-27,5,14,151857.3,2024-04-16,2025-12-09,281.0,1,0,2024-12-08,Dormant,False
V00033,"Sellers, George and Burns",Professional Services,Europe,Italy,,False,False,30,Low,2018-09-02,8,10,218943.37,2024-06-10,2025-12-08,282.0,1,0,2026-08-04,Dormant,False
V00034,Koch-Decker,Professional Services,North America,Canada,Minority-Owned,False,True,4,Low,2019-11-05,7,17,352359.29,2024-03-31,2025-10-22,329.0,1,0,2026-06-22,Dormant,False
V00035,Allen PLC,Logistics,North America,USA,Women-Owned,False,False,12,Low,2023-09-05,3,2,37622.26,2025-01-02,2025-07-20,423.0,0,0,,Dormant,False
V00036,Dennis Inc,Raw Materials,Europe,Netherlands,Women-Owned,False,True,21,Low,2023-11-12,3,12,190075.18,2024-06-10,2025-11-14,306.0,2,0,2025-02-09,Dormant,False
V00037,"Cannon, Anderson and Alvarez",Professional Services,Latin America,Chile,,False,False,35,Low,2021-04-19,5,17,421803.25,2024-04-17,2025-11-04,316.0,2,1,2027-02-13,Dormant,True
V00038,Rose-Obrien,Raw Materials,Latin America,Brazil,,False,True,65,Medium,2023-10-13,3,18,202623.53,2024-01-21,2025-12-20,270.0,2,1,2027-12-16,Dormant,True
V00039,"Campos, Vaughn and Marquez",MRO,North America,Mexico,,True,False,16,Low,2020-05-23,6,13,73657.16,2024-04-15,2025-12-21,269.0,3,2,2027-07-18,Dormant,True
V00040,"Santos, Kim and Holmes",Facilities,Europe,Germany,Veteran-Owned,True,False,6,Low,2018-09-22,8,11,60924.97,2024-02-17,2025-12-10,280.0,2,0,2025-06-03,Dormant,False
V00041,Brown Inc,Raw Materials,Europe,Netherlands,,False,False,7,Low,2021-07-12,5,4,53771.1,2024-12-06,2025-11-07,313.0,0,0,,Dormant,False
V00042,Chapman Inc,Raw Materials,North America,Canada,,False,False,17,Low,2018-06-05,8,12,287942.74,2024-02-14,2025-12-31,259.0,2,0,2024-11-15,Dormant,False
V00043,"Brown, Jones and Johnson",Professional Services,Asia Pacific,India,,True,False,54,Medium,2019-12-25,7,11,353697.52,2024-03-14,2025-11-11,309.0,2,0,2026-09-08,Dormant,False
V00044,"Young, Caldwell and Lewis",Raw Materials,North America,USA,,False,False,6,Low,2018-10-17,8,2,19750.94,2024-09-06,2024-10-17,699.0,0,0,,Dormant,False
V00045,"Johnston, Sanchez and Kennedy",IT Services,Europe,Italy,,False,False,23,Low,2020-06-10,6,12,242397.29,2024-05-08,2025-12-19,271.0,1,0,2026-03-09,Dormant,False
V00046,Davis Group,Capital Equipment,Asia Pacific,Japan,,False,False,31,Low,2020-02-15,6,5,370363.58,2024-07-11,2025-12-04,286.0,2,0,2025-05-12,Dormant,False
V00047,Owens-Daniel,Logistics,North America,Mexico,Minority-Owned,False,False,15,Low,2022-01-14,4,7,82309.63,2024-03-04,2025-10-19,332.0,2,1,2027-05-09,Dormant,True
V00048,"Garcia, Powell and Morgan",Facilities,Europe,France,,True,False,38,Low,2023-03-03,3,6,34984.11,2024-04-03,2025-12-21,269.0,2,0,2025-08-07,Dormant,False
V00049,Lee PLC,Professional Services,Europe,France,,False,False,48,Medium,2020-09-09,6,3,59116.38,2024-12-07,2025-06-14,459.0,0,0,,Dormant,False
V00050,White-Ford,Raw Materials,North America,USA,,False,True,9,Low,2023-03-31,3,3,40369.76,2024-12-15,2025-10-29,322.0,0,0,,Dormant,False
V00051,Ramos PLC,Professional Services,Europe,France,,False,False,36,Low,2018-08-03,8,5,209800.5,2024-08-18,2025-11-06,314.0,0,0,,Dormant,False
V00052,"Kidd, Huff and Novak",Raw Materials,North America,USA,Women-Owned,False,False,29,Low,2023-07-22,3,11,161071.95,2024-05-12,2025-09-28,353.0,1,0,2024-12-14,Dormant,False
V00053,Martin Group,IT Services,Asia Pacific,Australia,,False,True,22,Low,2020-11-20,6,5,142939.04,2024-04-21,2025-09-24,357.0,0,0,,Dormant,False
V00054,Barrera-Martin,Professional Services,North America,Canada,,False,False,16,Low,2018-01-05,8,4,52970.45,2024-03-01,2025-10-12,339.0,0,0,,Dormant,False
V00055,Baker-Bowers,Marketing,Latin America,Argentina,,False,False,46,Medium,2020-09-23,6,1,968.75,2025-10-25,2025-10-25,326.0,0,0,,Dormant,False
V00056,Horton-Cross,IT Services,Europe,Netherlands,,False,False,9,Low,2022-09-12,4,12,222556.07,2024-03-23,2025-12-14,276.0,2,2,2026-11-24,Dormant,True
V00057,"Higgins, Moore and Phillips",Facilities,Europe,France,,False,False,17,Low,2023-10-23,3,13,250983.85,2024-01-17,2025-12-28,262.0,2,0,2026-04-01,Dormant,False
V00058,"Fitzgerald, Brown and Edwards",IT Services,Latin America,Brazil,,False,False,34,Low,2018-04-20,8,6,110075.22,2024-08-03,2025-10-10,341.0,2,0,2026-03-07,Dormant,False
V00059,Shaw-Farrell,Marketing,Europe,UK,,False,False,27,Low,2018-12-11,8,1,1093.0,2025-07-21,2025-07-21,422.0,0,0,,Dormant,False
V00060,"Miller, Lopez and Larson",Capital Equipment,Asia Pacific,Japan,,False,False,44,Medium,2022-01-18,4,6,490831.76,2024-08-21,2025-10-29,322.0,3,0,2026-06-28,Dormant,False
V00061,Powell PLC,Raw Materials,North America,USA,Women-Owned,False,False,13,Low,2019-06-24,7,8,129060.67,2024-01-24,2025-07-26,417.0,1,0,2024-05-03,Dormant,False
V00062,"Williams, Miller and Sandoval",Office Supplies,North America,USA,,False,False,40,Medium,2021-05-22,5,18,85246.42,2024-03-06,2025-12-13,277.0,2,1,2026-12-24,Dormant,True
V00063,Donovan-Harris,Raw Materials,North America,Canada,Women-Owned,False,True,32,Low,2022-04-18,4,6,192380.44,2024-10-14,2025-10-18,333.0,0,0,,Dormant,False
V00064,Baker and Sons,Raw Materials,Europe,France,,False,False,29,Low,2022-01-11,4,10,117657.98,2024-01-21,2025-10-03,348.0,3,1,2027-01-03,Dormant,True
V00065,Bryant-Hickman,Logistics,North America,Mexico,Women-Owned,False,False,11,Low,2023-08-12,3,2,40276.83,2024-04-14,2025-03-08,557.0,0,0,,Dormant,False
V00066,Ellis PLC,Professional Services,Asia Pacific,Australia,,False,False,34,Low,2023-12-22,3,20,575725.64,2024-01-28,2025-12-30,260.0,1,1,2026-11-24,Dormant,True
V00067,Medina PLC,Logistics,Europe,Italy,,False,False,16,Low,2019-08-04,7,9,129250.59,2024-03-21,2025-10-20,331.0,2,0,2026-05-22,Dormant,False
V00068,Ibarra-Suarez,Professional Services,Europe,Netherlands,Minority-Owned,False,False,80,High,2020-03-20,6,15,348351.33,2024-04-02,2025-12-16,274.0,1,0,2024-02-03,Dormant,False
V00069,Kim PLC,Raw Materials,Europe,Italy,,False,False,13,Low,2022-03-21,4,17,170873.28,2024-01-28,2025-12-23,267.0,2,0,2025-08-10,Dormant,False
V00070,"Riggs, Roman and Rice",IT Services,North America,Canada,,False,False,12,Low,2022-01-02,4,12,565643.89,2024-02-21,2025-12-27,263.0,3,0,2025-05-17,Dormant,False
V00071,"Evans, Alvarado and Mcmillan",Marketing,Europe,France,,False,True,33,Low,2018-10-22,8,21,69400.32,2024-01-24,2025-12-15,275.0,2,1,2026-12-09,Dormant,True
V00072,Preston Ltd,Professional Services,Latin America,Argentina,Minority-Owned,True,False,3,Low,2021-04-26,5,0,0.0,,,,0,0,,Inactive,False
V00073,Campbell-Clark,Logistics,Europe,Netherlands,,False,False,15,Low,2020-01-21,6,6,116796.74,2024-10-21,2025-09-29,352.0,2,1,2027-08-13,Dormant,True
V00074,"Walters, Baker and Freeman",IT Services,North America,Canada,,False,False,26,Low,2023-06-06,3,8,242557.01,2024-05-02,2025-12-14,276.0,2,0,2025-11-28,Dormant,False
V00075,Davis Group,Raw Materials,Europe,Germany,,False,False,24,Low,2022-12-22,4,12,136038.69,2024-01-15,2025-12-08,282.0,2,1,2027-10-27,Dormant,True
V00076,Smith and Sons,Office Supplies,Asia Pacific,Singapore,,False,False,6,Low,2021-10-27,5,14,112413.48,2024-03-23,2025-12-25,265.0,2,0,2025-01-04,Dormant,False
V00077,Martin-Ramos,Marketing,Latin America,Brazil,,False,False,45,Medium,2022-03-26,4,14,86933.3,2024-03-07,2025-10-24,327.0,2,2,2027-08-09,Dormant,True
V00078,"Smith, Jones and Ware",Professional Services,Asia Pacific,Australia,,False,False,54,Medium,2023-06-03,3,16,383763.03,2024-02-16,2025-11-08,312.0,2,1,2026-11-11,Dormant,True
V00079,"Johnson, Wood and Tran",MRO,Europe,France,,False,True,26,Low,2020-07-30,6,16,59026.95,2024-02-04,2025-10-02,349.0,2,0,2026-02-26,Dormant,False
V00080,Parker Inc,IT Services,Latin America,Argentina,,False,False,6,Low,2023-05-23,3,10,487925.75,2024-02-22,2025-12-13,277.0,1,0,2024-06-27,Dormant,False
V00081,Fleming Ltd,Professional Services,Latin America,Chile,,False,False,4,Low,2018-08-14,8,2,23335.9,2025-04-18,2025-10-01,350.0,0,0,,Dormant,False
V00082,"Henson, Russell and Oliver",MRO,North America,Mexico,,True,False,12,Low,2018-12-05,8,17,84787.04,2024-01-31,2025-12-27,263.0,3,1,2026-09-20,Dormant,True
V00083,Hancock and Sons,MRO,Latin America,Argentina,,False,False,32,Low,2023-04-15,3,19,97492.56,2024-05-14,2025-12-29,261.0,1,1,2027-01-09,Dormant,True
V00084,White LLC,Professional Services,Europe,France,,True,False,11,Low,2022-09-10,4,17,400163.28,2024-03-21,2025-12-22,268.0,2,1,2026-09-20,Dormant,True
V00085,Pham-Shields,Logistics,Latin America,Argentina,,False,False,10,Low,2022-11-11,4,10,191576.43,2024-04-20,2025-12-12,278.0,2,0,2026-06-08,Dormant,False
