requester_dept,category,spend_type,total_pos,maverick_pos,on_contract_pos,total_spend,maverick_spend,on_contract_spend,contract_compliance_rate_pct,maverick_rate_pct,maverick_spend_share_pct
Engineering,Raw Materials,Direct,97,24,73,1756342.01,526430.9,1229911.11,0.752577,0.247423,0.29973143
Finance,Travel,Indirect,10,2,8,37094.5,8671.54,28422.96,0.8,0.2,0.23376889
IT,IT Services,Indirect,87,16,71,2691688.58,636682.23,2055006.35,0.816092,0.183908,0.23653636
HR,Professional Services,Indirect,102,26,76,2804818.32,840525.25,1964293.07,0.745098,0.254902,0.29967191
Engineering,MRO,Direct,44,14,30,268721.91,112827.5,155894.41,0.681818,0.318182,0.41986714
Finance,Professional Services,Indirect,77,14,63,2217425.36,502150.33,1715275.03,0.818182,0.181818,0.22645647
HR,Marketing,Indirect,41,10,31,241901.12,41094.2,200806.92,0.756098,0.243902,0.16988016
Sales,Professional Services,Indirect,98,27,71,3747520.75,1149383.54,2598137.21,0.72449,0.27551,0.30670505
Engineering,Logistics,Direct,53,19,34,972377.57,319946.96,652430.61,0.641509,0.358491,0.32903573
Legal,Logistics,Direct,49,11,38,693793.03,210120.93,483672.1,0.77551,0.22449,0.30285823
Operations,Facilities,Indirect,17,5,12,79993.89,20591.73,59402.16,0.705882,0.294118,0.25741629
HR,Capital Equipment,Direct,30,10,20,2047862.32,555367.15,1492495.17,0.666667,0.333333,0.2711936
HR,Logistics,Direct,66,19,47,1003677.06,229063.24,774613.82,0.712121,0.287879,0.22822405
Manufacturing,Travel,Indirect,7,2,5,41274.64,13388.76,27885.88,0.714286,0.285714,0.32438224
Manufacturing,IT Services,Indirect,120,25,95,3114691.35,575583.4,2539107.95,0.791667,0.208333,0.18479629
HR,Facilities,Indirect,26,6,20,151385.0,47388.62,103996.38,0.769231,0.230769,0.31303379
Marketing,Office Supplies,Indirect,15,10,5,84043.06,42619.14,41423.92,0.333333,0.666667,0.50711076
R&D,Logistics,Direct,39,16,23,513595.13,204391.94,309203.19,0.589744,0.410256,0.39796316
R&D,Travel,Indirect,9,1,8,65566.74,1427.54,64139.2,0.888889,0.111111,0.02177232
Manufacturing,Professional Services,Indirect,96,26,70,2677339.06,620984.58,2056354.48,0.729167,0.270833,0.23194096
Marketing,Marketing,Indirect,42,17,25,265087.19,106697.28,158389.91,0.595238,0.404762,0.40249882
HR,Office Supplies,Indirect,17,7,10,98612.0,32249.14,66362.86,0.588235,0.411765,0.32703058
Legal,Travel,Indirect,9,4,5,27811.75,10734.72,17077.03,0.555556,0.444444,0.38597787
Marketing,MRO,Direct,32,10,22,167184.03,74560.05,92623.98,0.6875,0.3125,0.44597591
Engineering,Travel,Indirect,7,1,6,33068.47,14632.37,18436.1,0.857143,0.142857,0.44248706
R&D,Office Supplies,Indirect,8,2,6,77190.96,5290.01,71900.95,0.75,0.25,0.06853147
Facilities,IT Services,Indirect,111,27,84,3724614.35,759063.06,2965551.29,0.756757,0.243243,0.20379642
HR,Raw Materials,Direct,97,24,73,1143314.41,263020.62,880293.79,0.752577,0.247423,0.230051
Legal,Professional Services,Indirect,112,19,93,3553452.86,661256.04,2892196.82,0.830357,0.169643,0.18608831
Finance,IT Services,Indirect,121,26,95,3639830.86,632554.01,3007276.85,0.785124,0.214876,0.17378665
