month,category,po_count,avg_req_to_po_cycle_days,avg_delivery_slip_days,on_time_delivery_rate,invoice_count,avg_days_payable_outstanding,three_way_match_rate,on_time_payment_rate
2025-11-01,Marketing,21,5.857143,2.238095,0.380952,15,18.666667,0.733333,0.666667
2025-11-01,Professional Services,66,6.242424,2.181818,0.348485,40,18.157895,0.825,0.842105
2024-12-01,Professional Services,51,6.764706,2.588235,0.333333,30,42.033333,0.8,0.4
2025-06-01,Professional Services,52,7.730769,1.673077,0.480769,34,39.176471,0.852941,0.617647
2024-07-01,IT Services,36,7.694444,1.694444,0.444444,23,36.086957,0.782609,0.565217
2024-05-01,MRO,14,7.714286,3.214286,0.428571,9,33.333333,0.555556,0.888889
2024-10-01,Raw Materials,46,7.586957,2.913043,0.369565,27,36.074074,0.851852,0.592593
2025-12-01,IT Services,70,7.885714,2.371429,0.342857,41,6.0,0.634146,1.0
2025-06-01,Facilities,8,7.5,-0.25,0.625,5,55.2,0.4,0.2
2025-01-01,Raw Materials,50,7.54,2.24,0.36,35,42.171429,0.885714,0.485714
2025-01-01,IT Services,52,7.076923,1.134615,0.519231,38,36.5,0.736842,0.526316
2024-04-01,IT Services,35,8.257143,2.171429,0.428571,21,32.380952,0.571429,0.52381
2025-09-01,MRO,23,6.695652,1.391304,0.434783,18,40.722222,0.833333,0.611111
2025-08-01,Travel,6,8.5,0.833333,0.833333,4,53.25,0.75,0.75
2025-02-01,Facilities,11,8.636364,3.454545,0.181818,6,42.833333,0.833333,0.5
2024-01-01,Facilities,7,5.428571,0.857143,0.571429,3,34.333333,0.666667,0.333333
2024-09-01,Travel,5,7.8,1.2,0.4,3,64.0,1.0,0.333333
2025-12-01,Raw Materials,68,7.573529,1.338235,0.426471,44,12.333333,0.727273,1.0
2025-12-01,Marketing,27,7.740741,3.407407,0.333333,13,,0.769231,0.0
2025-05-01,Capital Equipment,10,8.4,3.1,0.4,4,32.25,1.0,1.0
2025-04-01,Raw Materials,38,7.052632,1.947368,0.289474,24,37.916667,0.75,0.416667
2025-01-01,Travel,4,12.75,-0.5,0.5,3,31.333333,0.666667,0.666667
2024-04-01,Logistics,33,7.393939,2.575758,0.242424,22,35.545455,0.590909,0.681818
2025-06-01,Travel,3,8.333333,-4.666667,1.0,2,41.5,1.0,1.0
2025-12-01,Travel,5,6.6,-2.8,0.6,2,,0.0,0.0
2024-01-01,IT Services,40,8.05,1.75,0.45,29,36.689655,0.827586,0.551724
2024-06-01,Professional Services,39,7.358974,2.948718,0.282051,28,39.821429,0.75,0.571429
2024-09-01,Facilities,13,6.307692,2.538462,0.307692,9,42.666667,0.777778,0.777778
2024-01-01,Travel,3,9.333333,-0.333333,0.666667,2,35.5,1.0,1.0
2024-01-01,Raw Materials,26,7.153846,1.576923,0.461538,13,37.846154,0.769231,0.461538
2024-09-01,Raw Materials,33,7.212121,2.424242,0.515152,19,32.684211,0.631579,0.421053
2024-03-01,IT Services,40,7.975,2.35,0.35,26,35.576923,0.846154,0.5
2024-09-01,MRO,26,7.538462,3.038462,0.346154,19,41.157895,0.789474,0.578947
2025-09-01,Raw Materials,46,7.478261,0.891304,0.565217,32,35.322581,0.90625,0.419355
