month,year,quarter,category,spend_type,po_count,total_spend,avg_po_amount,unique_vendors,maverick_spend,prior_year_spend,yoy_spend_change,yoy_spend_change_pct
2024-01-01,2024,1,Facilities,Indirect,7,32924.21,4703.45857143,6,4045.35,,,
2024-02-01,2024,1,Facilities,Indirect,8,43390.27,5423.78375,6,4295.15,,,
2024-03-01,2024,1,Facilities,Indirect,10,52240.97,5224.097,9,4986.2,,,
2024-04-01,2024,2,Facilities,Indirect,7,31689.88,4527.12571429,7,1462.41,,,
2024-05-01,2024,2,Facilities,Indirect,11,51984.09,4725.82636364,9,6750.08,,,
2024-06-01,2024,2,Facilities,Indirect,16,281265.26,17579.07875,12,25811.16,,,
2024-07-01,2024,3,Facilities,Indirect,11,66803.54,6073.04909091,9,0.0,,,
2024-08-01,2024,3,Facilities,Indirect,6,25216.22,4202.70333333,5,11411.33,,,
2024-09-01,2024,3,Facilities,Indirect,13,66529.85,5117.68076923,9,6969.15,,,
2024-10-01,2024,4,Facilities,Indirect,15,72643.75,4842.91666667,11,10958.96,,,
2024-11-01,2024,4,Facilities,Indirect,7,30899.93,4414.27571429,6,2367.41,,,
2024-12-01,2024,4,Facilities,Indirect,13,82247.6,6326.73846154,10,20473.04,,,
2025-01-01,2025,1,Facilities,Indirect,10,65183.23,6518.323,9,1937.65,32924.21,32259.02,0.97979633
2025-02-01,2025,1,Facilities,Indirect,11,153607.1,13964.28181818,8,10410.74,43390.27,110216.83,2.54012778
2025-03-01,2025,1,Facilities,Indirect,16,107147.3,6696.70625,11,40668.92,52240.97,54906.33,1.05102049
2025-04-01,2025,2,Facilities,Indirect,13,86264.49,6635.73,10,46385.96,31689.88,54574.61,1.72214631
2025-05-01,2025,2,Facilities,Indirect,13,91373.61,7028.73923077,10,42289.43,51984.09,39389.52,0.7577226
2025-06-01,2025,2,Facilities,Indirect,8,83539.61,10442.45125,7,50430.75,281265.26,-197725.65,-0.70298639
2025-07-01,2025,3,Facilities,Indirect,13,158395.76,12184.28923077,10,105072.22,66803.54,91592.22,1.37106836
