vendor_id,vendor_name,vendor_region,vendor_country,vendor_is_preferred,vendor_is_strategic,vendor_diversity_classification,vendor_risk_tier,vendor_risk_score,po_count,total_spend,avg_po_amount,first_po_date,last_po_date,maverick_spend,maverick_po_count,spend_share_pct,spend_rank,spend_tier,cumulative_spend_share_pct
V00368,Allen-Sandoval,Latin America,Argentina,True,False,,Low,22,369,10770472.4,29188.27208672,2024-01-01,2025-12-30,32959.45,2,0.08973444,1,Top 20,0.08973444
V00169,Vasquez-Ray,Asia Pacific,Singapore,True,True,,Low,4,125,8714258.53,69714.06824,2024-01-04,2025-12-25,65734.02,5,0.07260305,2,Top 20,0.16233749
V00403,Owens-Holmes,North America,Mexico,False,False,Small Business,Low,38,184,3211246.57,17452.42701087,2024-01-03,2025-12-30,0.0,0,0.02675458,3,Top 20,0.18909207
V00298,Rodriguez-Gregory,Europe,France,False,False,Women-Owned,Low,7,11,1347950.87,122540.98818182,2024-03-07,2025-12-10,478254.11,2,0.01123048,4,Top 20,0.20032255
V00276,"Jacobs, Garcia and Miles",Europe,UK,False,True,,Medium,44,8,1204444.99,150555.62375,2024-02-24,2025-11-26,31706.75,1,0.01003486,5,Top 20,0.21035741
V00448,"Lara, Baker and Washington",Europe,Netherlands,False,False,,Low,12,11,982811.88,89346.53454545,2024-03-07,2025-12-15,418254.62,4,0.00818832,6,Top 20,0.21854573
V00200,"Moore, Pierce and Tran",North America,USA,False,True,,Low,13,19,860811.65,45305.87631579,2024-02-14,2025-11-17,194508.57,6,0.00717187,7,Top 20,0.2257176
V00029,Chavez Ltd,Asia Pacific,China,False,False,,Low,18,7,851125.8,121589.4,2024-01-21,2025-12-21,143937.62,2,0.00709117,8,Top 20,0.23280877
V00222,Williams Inc,Latin America,Chile,True,False,,Medium,43,20,800148.39,40007.4195,2024-01-19,2025-12-07,217710.4,4,0.00666646,9,Top 20,0.23947523
V00387,"Diaz, Reyes and Bradley",North America,Canada,False,False,,Medium,46,16,778444.48,48652.78,2024-02-25,2025-12-31,49664.94,4,0.00648563,10,Top 20,0.24596086
V00385,"Owen, Shelton and Cisneros",North America,USA,False,False,Women-Owned,Low,15,15,751696.79,50113.11933333,2024-01-03,2025-12-27,76522.28,2,0.00626278,11,Top 20,0.25222364
V00424,Wagner-Levy,Asia Pacific,India,False,False,Minority-Owned,Medium,46,15,724726.32,48315.088,2024-01-16,2025-12-29,137613.76,3,0.00603807,12,Top 20,0.25826171
V00293,"Moreno, Bennett and Chavez",Asia Pacific,Singapore,False,False,,Low,36,9,724555.05,80506.11666667,2024-06-10,2025-12-31,104481.87,3,0.00603665,13,Top 20,0.26429836
V00178,Carter-Hall,North America,Canada,True,False,Minority-Owned,Medium,43,11,717519.52,65229.04727273,2024-04-09,2025-07-29,73019.06,5,0.00597803,14,Top 20,0.27027639
V00185,George Group,Asia Pacific,Australia,True,False,,Low,25,10,713260.55,71326.055,2025-01-01,2025-12-17,713260.55,10,0.00594255,15,Top 20,0.27621894
V00292,"Morales, Thomas and Schultz",Latin America,Chile,False,False,,Low,16,14,683861.5,48847.25,2024-02-01,2025-10-26,346700.06,6,0.00569761,16,Top 20,0.28191655
V00145,"Holland, Smith and Fisher",Europe,Germany,False,False,,Low,38,21,639511.75,30452.94047619,2024-01-08,2025-11-26,79150.03,3,0.00532811,17,Top 20,0.28724466
V00134,King-Miller,North America,Canada,False,False,Women-Owned,Low,15,19,630701.55,33194.81842105,2024-02-27,2025-12-09,34633.88,2,0.0052547,18,Top 20,0.29249936
V00354,Walker-Flores,Europe,Germany,False,False,,Low,14,22,612514.01,27841.54590909,2024-01-17,2025-12-30,291869.49,11,0.00510317,19,Top 20,0.29760253
V00171,Mcknight Inc,Latin America,Argentina,False,False,,Low,27,23,605075.53,26307.63173913,2024-01-07,2025-12-22,131840.54,8,0.0050412,20,Top 20,0.30264373
V00432,Grant-Diaz,North America,USA,False,False,Veteran-Owned,Low,6,10,603039.11,60303.911,2024-04-08,2025-10-07,212422.71,4,0.00502423,21,Top 100,0.30766796
V00369,"Moss, Cook and Williams",Asia Pacific,Australia,True,False,Veteran-Owned,Low,33,15,585481.11,39032.074,2024-04-25,2025-12-19,36087.88,3,0.00487795,22,Top 100,0.31254591
V00430,"Cole, Pierce and Bryan",Europe,Germany,False,False,,Low,35,20,580404.55,29020.2275,2024-01-14,2025-12-12,83560.02,3,0.00483565,23,Top 100,0.31738156
V00066,Ellis PLC,Asia Pacific,Australia,False,False,,Low,34,20,575725.64,28786.282,2024-01-28,2025-12-30,156299.96,2,0.00479667,24,Top 100,0.32217823
V00356,Horton-Taylor,Asia Pacific,Japan,True,False,Veteran-Owned,Low,19,13,575504.41,44269.57,2024-02-02,2025-12-25,145244.88,2,0.00479483,25,Top 100,0.32697306
V00284,Parrish-Griffith,North America,Mexico,False,False,,Low,12,23,573820.07,24948.69869565,2024-04-07,2025-12-04,3847.21,1,0.0047808,26,Top 100,0.33175386
V00110,"Horton, Snyder and Sanchez",Europe,France,True,False,,Low,17,16,567941.52,35496.345,2024-01-01,2025-10-23,59478.04,3,0.00473182,27,Top 100,0.33648568
V00070,"Riggs, Roman and Rice",North America,Canada,False,False,,Low,12,12,565643.89,47136.99083333,2024-02-21,2025-12-27,318576.33,6,0.00471268,28,Top 100,0.34119836
V00286,Walker-Rodriguez,Latin America,Brazil,False,False,,Low,24,13,559172.54,43013.27230769,2024-01-01,2025-11-12,251988.14,5,0.00465876,29,Top 100,0.34585712
V00225,"Vega, Jimenez and Aguilar",Latin America,Brazil,False,False,,Low,26,12,555927.15,46327.2625,2024-03-30,2025-12-04,78570.96,2,0.00463172,30,Top 100,0.35048884
V00019,Clark PLC,Asia Pacific,China,False,True,,Low,16,15,549063.74,36604.24933333,2024-01-23,2025-12-17,162048.71,9,0.00457454,31,Top 100,0.35506338
V00478,Parks-Leblanc,Europe,Italy,False,False,,Low,16,16,538594.64,33662.165,2024-02-21,2025-11-14,538594.64,16,0.00448731,32,Top 100,0.35955069
V00023,Robinson-Bright,Asia Pacific,India,False,False,,Low,15,7,528013.2,75430.45714286,2024-02-26,2025-11-07,210644.69,3,0.00439915,33,Top 100,0.36394984
V00393,"Hendricks, Henry and Martinez",Latin America,Chile,False,False,,Low,30,17,519530.68,30560.62823529,2024-01-18,2025-12-18,0.0,0,0.00432848,34,Top 100,0.36827832
V00305,"Patterson, Sullivan and Bowman",Latin America,Argentina,False,False,,Low,36,13,517536.7,39810.51538462,2024-01-27,2025-12-31,517536.7,13,0.00431187,35,Top 100,0.37259019
V00408,"Hill, Weber and Mendez",Europe,Italy,False,False,,Low,26,17,509774.92,29986.76,2024-01-05,2025-12-22,94936.3,4,0.0042472,36,Top 100,0.37683739
V00147,"Hernandez, Thompson and Boyd",Latin America,Argentina,True,False,,Low,17,15,506772.7,33784.84666667,2024-01-09,2025-12-26,266789.07,8,0.00422219,37,Top 100,0.38105958
V00335,"Osborn, Gaines and Davis",Latin America,Argentina,False,False,Minority-Owned,Low,34,13,503095.11,38699.62384615,2024-04-09,2025-12-12,61203.62,3,0.00419155,38,Top 100,0.38525113
V00438,Nunez-Whitney,Latin America,Brazil,False,False,Veteran-Owned,Low,26,8,493428.52,61678.565,2024-02-14,2025-08-13,138122.61,3,0.00411101,39,Top 100,0.38936214
V00353,Shaw-Young,Asia Pacific,India,True,False,,Low,12,16,493150.69,30821.918125,2024-02-12,2025-12-01,115067.75,3,0.0041087,40,Top 100,0.39347084
V00091,"Hicks, Frazier and Anthony",Europe,Netherlands,False,False,,Low,23,8,491136.94,61392.1175,2024-08-27,2025-12-25,78537.25,1,0.00409192,41,Top 100,0.39756276
V00060,"Miller, Lopez and Larson",Asia Pacific,Japan,False,False,,Medium,44,6,490831.76,81805.29333333,2024-08-21,2025-10-29,249076.93,2,0.00408938,42,Top 100,0.40165214
V00141,Johnston-Odonnell,Latin America,Brazil,False,False,Minority-Owned,Low,32,9,489659.54,54406.61555556,2024-01-08,2025-11-07,249421.29,3,0.00407961,43,Top 100,0.40573175
V00080,Parker Inc,Latin America,Argentina,False,False,,Low,6,10,487925.75,48792.575,2024-02-22,2025-12-13,487925.75,10,0.00406516,44,Top 100,0.40979691
V00255,Bass PLC,North America,Canada,False,False,,Medium,46,16,479675.14,29979.69625,2024-02-07,2025-12-08,261239.87,9,0.00399642,45,Top 100,0.41379333
V00392,Padilla-Lewis,Europe,Netherlands,False,False,,Medium,64,11,478246.38,43476.94363636,2024-01-03,2025-10-19,25432.69,2,0.00398452,46,Top 100,0.41777785
V00007,Ramirez-Lewis,Asia Pacific,Australia,False,False,Women-Owned,Medium,50,19,467511.01,24605.84263158,2024-01-03,2025-12-27,54363.81,3,0.00389508,47,Top 100,0.42167293
V00377,Morgan-Lopez,North America,USA,False,False,Women-Owned,Low,37,8,465317.83,58164.72875,2024-04-27,2025-12-29,232628.99,4,0.00387681,48,Top 100,0.42554974
V00113,Grant Inc,Latin America,Brazil,False,False,,Low,16,15,461311.55,30754.10333333,2024-04-16,2025-12-19,223230.08,5,0.00384343,49,Top 100,0.42939317
V00117,Larsen LLC,Europe,UK,True,False,,Low,37,16,457116.0,28569.75,2024-01-29,2025-12-04,257464.12,10,0.00380847,50,Top 100,0.43320164
V00226,"King, Scott and Smith",Asia Pacific,India,False,False,,Low,34,10,449071.91,44907.191,2024-03-04,2025-12-07,25785.7,2,0.00374145,51,Top 100,0.43694309
V00239,Anderson PLC,North America,Canada,False,False,,Low,17,17,448530.07,26384.12176471,2024-01-05,2025-12-20,66158.19,2,0.00373694,52,Top 100,0.44068003
V00330,"York, Brandt and Morrison",Latin America,Argentina,False,False,Minority-Owned,Low,29,11,447817.42,40710.67454545,2024-03-25,2025-12-08,298661.83,2,0.003731,53,Top 100,0.44441103
V00461,"Gonzalez, Maynard and Morris",North America,Mexico,False,False,Women-Owned,Medium,47,15,442490.63,29499.37533333,2024-01-13,2025-10-04,133414.31,9,0.00368662,54,Top 100,0.44809765
V00419,"Rodriguez, Allen and Martinez",Europe,Italy,False,False,,Medium,46,14,438366.49,31311.89214286,2024-01-31,2025-11-14,290276.43,8,0.00365226,55,Top 100,0.45174991
V00372,Carter Inc,Europe,UK,False,True,,Low,38,20,432877.06,21643.853,2024-01-25,2025-12-15,55687.51,5,0.00360653,56,Top 100,0.45535644
V00447,"Peterson, Gomez and Ingram",Latin America,Brazil,True,False,,Low,22,11,432672.36,39333.85090909,2024-05-07,2025-10-08,74451.1,1,0.00360482,57,Top 100,0.45896126
V00395,"Ponce, Downs and Contreras",Latin America,Chile,False,False,,Low,19,15,432270.28,28818.01866667,2024-02-06,2025-11-19,130028.33,3,0.00360147,58,Top 100,0.46256273
V00466,Mcdowell-Smith,Asia Pacific,China,True,False,,Low,22,12,427562.98,35630.24833333,2024-01-23,2025-12-28,60730.59,1,0.00356225,59,Top 100,0.46612498
V00282,Cain-Hawkins,Europe,Italy,False,False,,Medium,44,18,426931.67,23718.42611111,2024-01-25,2025-12-03,41491.06,5,0.00355699,60,Top 100,0.46968197
V00128,Price Ltd,Asia Pacific,Singapore,False,False,,Low,23,9,426324.9,47369.43333333,2024-05-13,2025-11-10,164507.95,4,0.00355194,61,Top 100,0.47323391
V00229,"Wright, Bruce and Gonzalez",North America,Canada,True,False,Minority-Owned,Low,20,10,423170.78,42317.078,2024-01-10,2025-10-18,349591.12,9,0.00352566,62,Top 100,0.47675957
V00037,"Cannon, Anderson and Alvarez",Latin America,Chile,False,False,,Low,35,17,421803.25,24811.95588235,2024-04-17,2025-11-04,67275.37,4,0.00351426,63,Top 100,0.48027383
V00412,Curtis-Wang,Europe,UK,False,True,,Low,24,13,416977.97,32075.22846154,2024-01-20,2025-11-19,68214.07,2,0.00347406,64,Top 100,0.48374789
V00173,"James, Kerr and Evans",Latin America,Chile,False,True,Veteran-Owned,Medium,48,15,414997.89,27666.526,2024-01-01,2025-11-17,75727.31,2,0.00345756,65,Top 100,0.48720545
V00149,"Vargas, Morris and Sanchez",Latin America,Brazil,False,True,,Low,20,10,414540.22,41454.022,2024-03-20,2025-09-21,346023.23,7,0.00345375,66,Top 100,0.4906592
V00223,Jordan-Sanchez,Asia Pacific,China,False,False,,Medium,56,17,413729.1,24337.00588235,2024-10-23,2025-12-20,68193.74,6,0.00344699,67,Top 100,0.49410619
V00491,Williams LLC,North America,Canada,False,False,,Low,26,25,412955.71,16518.2284,2024-01-06,2025-12-31,249159.38,14,0.00344055,68,Top 100,0.49754674
V00272,Boone-Simmons,Latin America,Brazil,False,False,,Low,18,14,407241.55,29088.68214286,2024-02-06,2025-12-19,67707.81,3,0.00339294,69,Top 100,0.50093968
V00471,Bradley-Todd,North America,Mexico,False,False,Minority-Owned,Low,33,16,404334.61,25270.913125,2024-03-07,2025-12-31,227118.64,4,0.00336872,70,Top 100,0.5043084
V00279,"Davis, Simmons and Ortega",Asia Pacific,Australia,False,False,,Low,19,14,404314.5,28879.60714286,2024-04-19,2025-11-05,197620.88,4,0.00336856,71,Top 100,0.50767696
V00308,Sanchez PLC,Europe,France,False,False,,Low,21,12,402632.55,33552.7125,2024-10-31,2025-12-22,399704.95,11,0.00335454,72,Top 100,0.5110315
V00210,Kane-Pollard,North America,Canada,False,False,Women-Owned,Low,25,15,401976.22,26798.41466667,2024-03-09,2025-12-03,0.0,0,0.00334907,73,Top 100,0.51438057
