contract_id,vendor_id,start_date,end_date,negotiated_rate,savings_estimate,payment_terms
C00001,V00362,2022-05-22,2025-05-21,0.156,385752.66,Net 45
C00002,V00362,2022-06-21,2024-06-20,0.07,331863.57,Net 60
C00003,V00362,2024-03-08,2028-03-07,0.213,459457.15,Net 30
C00004,V00074,2023-11-29,2025-11-28,0.165,491505.67,Net 15
C00005,V00074,2022-01-30,2025-01-29,0.237,495855.54,Net 45
C00006,V00375,2023-08-25,2027-08-24,0.114,371671.5,Net 60
C00007,V00156,2023-07-15,2025-07-14,0.191,182324.25,Net 45
C00008,V00156,2024-05-02,2028-05-01,0.24,419981.45,Net 15
C00009,V00156,2024-03-20,2028-03-19,0.112,250313.85,Net 30
C00010,V00105,2022-08-08,2026-08-07,0.094,267959.77,Net 30
C00011,V00395,2022-03-03,2026-03-02,0.09,73939.88,Net 45
C00012,V00378,2023-06-26,2026-06-25,0.062,82378.89,Net 45
C00013,V00378,2023-02-11,2025-02-10,0.219,431728.04,Net 30
C00014,V00378,2023-09-05,2026-09-04,0.191,334448.38,Net 30
C00015,V00125,2024-03-05,2027-03-05,0.077,87176.9,Net 15
C00016,V00069,2022-08-11,2025-08-10,0.18,95359.31,Net 60
C00017,V00069,2022-02-10,2024-02-10,0.183,409082.58,Net 15
C00018,V00451,2023-02-04,2026-02-03,0.075,367127.17,Net 15
C00019,V00010,2023-05-07,2027-05-06,0.056,305170.45,Net 45
C00020,V00010,2023-11-19,2027-11-18,0.071,253130.68,Net 60
C00021,V00010,2023-12-08,2025-12-07,0.098,491366.03,Net 45
C00022,V00195,2022-05-08,2024-05-07,0.214,338312.04,Net 60
C00023,V00195,2024-06-24,2027-06-24,0.052,112745.3,Net 30
C00024,V00407,2022-08-02,2024-08-01,0.194,33592.25,Net 15
C00025,V00085,2024-04-14,2026-04-14,0.227,251610.18,Net 15
C00026,V00085,2023-06-09,2026-06-08,0.159,59699.99,Net 15
C00027,V00372,2023-06-11,2027-06-10,0.18,346708.6,Net 45
C00028,V00372,2023-12-05,2026-12-04,0.065,424423.62,Net 60
C00029,V00389,2024-01-16,2027-01-15,0.24,46358.2,Net 45
