invoice_id,po_id,vendor_id,invoice_amount,invoice_date,payment_status,payment_date,payment_terms,three_way_match_status
INV000001,PO000276,V00039,5073.25,2025-12-08,Unpaid,,Net 30,Matched
INV000002,PO004003,V00466,68403.56,2024-05-20,Paid Late,2024-06-14,Net 15,Matched
INV000003,PO005307,V00216,2002.98,2024-12-25,Paid,2025-01-23,Net 30,Matched
INV000004,PO001607,V00169,158749.98,2025-08-16,Paid,2025-10-17,Net 60,Matched
INV000005,PO001656,V00225,17552.42,2025-12-30,Unpaid,,Net 15,Missing Receipt
INV000006,PO003352,V00405,23072.43,2025-06-24,Paid,2025-07-30,Net 45,Matched
INV000007,PO003436,V00178,55132.24,2024-09-16,Paid Late,2024-11-29,Net 60,Price Variance
INV000008,PO000226,V00284,1343.99,2025-12-18,Paid,2025-12-26,Net 15,Matched
INV000009,PO001472,V00007,11422.79,2024-06-28,Paid,2024-07-17,Net 15,Matched
INV000010,PO000671,V00405,16570.82,2024-02-10,Paid,2024-03-21,Net 45,Matched
INV000011,PO000048,V00257,7434.06,2024-07-22,Paid,2024-08-22,Net 30,Matched
INV000012,PO002728,V00056,16339.82,2025-12-19,Unpaid,,Net 60,Matched
INV000013,PO002203,V00368,8521.82,2024-02-08,Paid,2024-03-18,Net 45,Matched
INV000014,PO000174,V00375,25022.63,2024-10-16,Paid,2024-12-03,Net 45,Missing Receipt
INV000015,PO000620,V00010,11731.5,2025-07-25,Paid Late,2025-10-05,Net 60,Matched
INV000016,PO005222,V00228,94776.48,2025-03-02,Paid,2025-03-28,Net 30,Matched
INV000017,PO000729,V00017,4565.64,2024-09-03,Paid Late,2024-11-11,Net 60,Matched
INV000018,PO000486,V00175,1236.93,2025-11-22,Paid Late,2025-12-18,Net 15,Matched
INV000019,PO001288,V00097,36912.47,2024-06-03,Paid Late,2024-07-24,Net 45,Matched
INV000020,PO000852,V00069,19776.43,2025-12-10,Unpaid,,Net 15,Price Variance
INV000021,PO005491,V00037,17511.58,2024-06-18,Paid,2024-07-30,Net 45,Matched
INV000022,PO004691,V00368,14333.4,2025-01-12,Paid,2025-02-26,Net 45,Price Variance
INV000023,PO000470,V00229,104316.1,2025-06-15,Paid,2025-07-17,Net 45,Matched
INV000024,PO000144,V00492,72580.82,2025-11-22,Unpaid,,Net 45,Price Variance
INV000025,PO000448,V00038,13853.7,2024-08-03,Paid,2024-09-01,Net 30,Matched
INV000026,PO002487,V00254,43461.91,2025-04-01,Paid,2025-04-19,Net 15,Matched
INV000027,PO002851,V00176,13953.82,2026-01-20,Unpaid,,Net 45,Matched
INV000028,PO004359,V00376,54650.78,2025-03-03,Paid,2025-04-30,Net 60,Matched
INV000029,PO003628,V00375,2878.35,2025-08-24,Paid,2025-10-12,Net 45,Matched
INV000030,PO003571,V00417,41225.26,2026-01-04,Unpaid,,Net 30,Price Variance
INV000031,PO003953,V00169,19967.67,2025-08-29,Paid,2025-09-28,Net 30,Matched
INV000032,PO002523,V00488,3345.25,2026-01-06,Unpaid,,Net 30,Matched
INV000033,PO000900,V00368,24474.89,2024-12-19,Paid,2025-01-12,Net 30,Price Variance
INV000034,PO004526,V00339,3718.5,2025-06-23,Paid Late,2025-08-14,Net 45,Price Variance
INV000035,PO002608,V00417,14213.01,2025-11-26,Paid,2025-12-05,Net 15,Matched
INV000036,PO002284,V00040,10408.34,2025-01-09,Paid Late,2025-02-03,Net 15,Price Variance
INV000037,PO005385,V00325,16425.01,2024-08-09,Paid,2024-08-27,Net 15,Matched
INV000038,PO003676,V00140,534.14,2025-10-10,Paid,2025-11-28,Net 45,Matched
